DataHora;Satelite;Pais;Estado;Municipi;Bioma;DiaSemCh;Precipit;RiscoFog;Latitude;Longitud;AreaIndu;FRP
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;PRESIDENTE OLEGARIO;Cerrado;0;0;0;"-18,07327";"-46,22971";;4.5
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;ELOI MENDES;Mata Atlantica;0;0;0;"-21,66262";"-45,55159";;3.4
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;IBIA;Cerrado;0;0;0;"-19,46026";"-46,41747";;9.8
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;IBIA;Cerrado;0;0;0;"-19,46089";"-46,42056";;9
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;IBIA;Cerrado;0;0;0;"-19,46131";"-46,41467";;6.4
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;IBIA;Cerrado;0;0;0;"-19,46195";"-46,41775";;5.9
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;IBIA;Cerrado;0;0;0;"-19,4626";"-46,42082";;5.9
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;IBIA;Cerrado;0;0;0;"-19,46601";"-46,41952";;4.2
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;MEDEIROS;Cerrado;0;0;0;"-20,00373";"-46,15494";;5.8
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;PIUMHI;Cerrado;0;0;0;"-20,39464";"-45,89714";;1.8
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;PIUMHI;Cerrado;0;0;0;"-20,47634";"-45,89962";;4.8
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;PIMENTA;Cerrado;0;0;0;"-20,54255";"-45,77721";;6.4
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;JOAO PINHEIRO;Cerrado;0;0;0;"-18,16187";"-45,86302";;11
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;JOAO PINHEIRO;Cerrado;0;0;0;"-18,16254";"-45,86172";;8.8
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;JOAO PINHEIRO;Cerrado;0;0;0;"-18,16267";"-45,86691";;11
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;JOAO PINHEIRO;Cerrado;0;0;0;"-18,16336";"-45,86557";;8.8
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;RIO PARANAIBA;Cerrado;0;0;0;"-19,31254";"-46,27844";;15.7
2018/12/17 17:18:00;NPP-375;Brasil;RIO DE JANEIRO;ITATIAIA;Mata Atlantica;0;0;0;"-22,48754";"-44,54801";;2.7
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;RIO PRETO;Mata Atlantica;0;0;0;"-21,96315";"-43,95705";;5.3
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;RIO PRETO;Mata Atlantica;0;0;0;"-21,96474";"-43,95712";;6
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;BOM JESUS DO AMPARO;Cerrado;0;0;0;"-19,71037";"-43,51485";;6.6
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;BOM JESUS DO AMPARO;Cerrado;0;0;0;"-19,71054";"-43,51491";;6
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;ANTONIO CARLOS;Mata Atlantica;0;0;0;"-21,38232";"-43,76141";;6.3
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;ANTONIO CARLOS;Mata Atlantica;0;0;0;"-21,38374";"-43,76481";;4.2
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;TABULEIRO;Mata Atlantica;0;0;0;"-21,38636";"-43,2642";;2.5
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;ANTONIO CARLOS;Mata Atlantica;0;0;0;"-21,42753";"-43,77319";;3.6
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;ANTONIO CARLOS;Mata Atlantica;0;0;0;"-21,42847";"-43,77734";;3.6
2018/12/17 17:18:00;NPP-375;Brasil;RIO DE JANEIRO;COMENDADOR LEVY GASPARIAN;Mata Atlantica;0;0;0;"-22,04314";"-43,25168";;3.6
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;ALVINOPOLIS;Mata Atlantica;0;0;0;"-20,07455";"-43,27149";;22.6
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;ALVINOPOLIS;Mata Atlantica;0;0;0;"-20,07548";"-43,2706";;22.8
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;MARIANA;Mata Atlantica;0;0;0;"-20,40402";"-43,17781";;4.8
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;MARIANA;Mata Atlantica;0;0;0;"-20,40462";"-43,17908";;4.6
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;DIVINO;Mata Atlantica;0;0;0;"-20,4755";"-42,15604";;6.4
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;DIVINO;Mata Atlantica;0;0;0;"-20,47588";"-42,1544";;6.7
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;PECANHA;Mata Atlantica;0;0;0;"-18,58817";"-42,4258";;9.5
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;PECANHA;Mata Atlantica;0;0;0;"-18,59226";"-42,42659";;9.9
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;ARACUAI;Mata Atlantica;0;0;0;"-17,15825";"-42,03968";;17.5
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;SAO JOAO DO PARAISO;Mata Atlantica;0;0;0;"-15,32804";"-41,88664";;11.4
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;SAO JOAO DO PARAISO;Mata Atlantica;0;0;0;"-15,32874";"-41,88063";;13
2018/12/17 17:18:00;NPP-375;Brasil;ESPIRITO SANTO;IBATIBA;Mata Atlantica;0;0;0;"-20,22202";"-41,44373";;8.9
2018/12/17 17:18:00;NPP-375;Brasil;ESPIRITO SANTO;IBATIBA;Mata Atlantica;0;0;0;"-20,22474";"-41,44699";;11.2
2018/12/17 17:18:00;NPP-375;Brasil;MATO GROSSO DO SUL;RIBAS DO RIO PARDO;Cerrado;0;0;0;"-20,44271";"-53,83623";;10.1
2018/12/17 17:18:00;NPP-375;Brasil;MATO GROSSO DO SUL;RIBAS DO RIO PARDO;Cerrado;0;0;0;"-20,4467";"-53,83946";;6.3
2018/12/17 17:18:00;NPP-375;Brasil;MATO GROSSO DO SUL;RIBAS DO RIO PARDO;Cerrado;0;0;0;"-20,44947";"-53,83501";;11.8
2018/12/17 17:18:00;NPP-375;Brasil;MATO GROSSO DO SUL;TRES LAGOAS;Cerrado;0;0;0;"-20,49556";"-51,69036";;6.5
2018/12/17 17:18:00;NPP-375;Brasil;MATO GROSSO DO SUL;TRES LAGOAS;Cerrado;0;0;0;"-20,49921";"-51,68967";;10.5
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;COMENDADOR GOMES;Cerrado;0;0;0;"-19,60863";"-48,90965";;6.7
2018/12/17 17:18:00;NPP-375;Brasil;SAO PAULO;MIGUELOPOLIS;Cerrado;0;0;0;"-20,12799";"-48,34187";;5.4
2018/12/17 17:18:00;NPP-375;Brasil;SAO PAULO;MIGUELOPOLIS;Cerrado;0;0;0;"-20,12889";"-48,34655";;5.4
2018/12/17 17:18:00;NPP-375;Brasil;SAO PAULO;COLINA;Cerrado;0;0;0;"-20,63032";"-48,5023";;5.8
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;PERDOES;Mata Atlantica;0;0;0;"-21,05689";"-45,01239";;5.9
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;CARANAIBA;Mata Atlantica;0;0;0;"-20,8903";"-43,71852";;3.7
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;OURO PRETO;Mata Atlantica;0;0;0;"-20,54007";"-43,52414";;7.6
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;PRESIDENTE BERNARDES;Mata Atlantica;0;0;0;"-20,73162";"-43,07779";;4.6
2018/12/17 17:18:00;NPP-375;Brasil;GOIAS;FAINA;Cerrado;0;0;0;"-15,3119";"-50,34053";;4.5
2018/12/17 17:18:00;NPP-375;Brasil;GOIAS;SANTA FE DE GOIAS;Cerrado;0;0;0;"-15,4633";"-51,16637";;4.5
2018/12/17 17:18:00;NPP-375;Brasil;GOIAS;SANTA FE DE GOIAS;Cerrado;0;0;0;"-15,46395";"-51,17007";;2.1
2018/12/17 17:18:00;NPP-375;Brasil;GOIAS;SANTA FE DE GOIAS;Cerrado;0;0;0;"-15,4646";"-51,17377";;2.1
2018/12/17 17:18:00;NPP-375;Brasil;GOIAS;MINEIROS;Cerrado;0;0;0;"-17,06841";"-52,5676";;5.9
2018/12/17 17:18:00;NPP-375;Brasil;GOIAS;MINEIROS;Cerrado;0;0;0;"-17,32697";"-52,97492";;9.6
2018/12/17 17:18:00;NPP-375;Brasil;GOIAS;MINEIROS;Cerrado;0;0;0;"-17,45448";"-52,37888";;9.6
2018/12/17 17:18:00;NPP-375;Brasil;GOIAS;ARAGARCAS;Cerrado;0;0;0;"-16,11641";"-52,25645";;10.4
2018/12/17 17:18:00;NPP-375;Brasil;GOIAS;ARAGARCAS;Cerrado;0;0;0;"-16,11714";"-52,25955";;18.9
2018/12/17 17:18:00;NPP-375;Brasil;GOIAS;ARAGARCAS;Cerrado;0;0;0;"-16,11724";"-52,26118";;10.4
2018/12/17 17:18:00;NPP-375;Brasil;GOIAS;PIRANHAS;Cerrado;0;0;0;"-16,42376";"-52,04369";;5.4
2018/12/17 17:18:00;NPP-375;Brasil;GOIAS;PIRANHAS;Cerrado;0;0;0;"-16,6034";"-51,85431";;1.9
2018/12/17 17:18:00;NPP-375;Brasil;GOIAS;JATAI;Cerrado;0;0;0;"-17,69788";"-51,99932";;4.9
2018/12/17 17:18:00;NPP-375;Brasil;GOIAS;FAZENDA NOVA;Cerrado;0;0;0;"-16,32232";"-50,75044";;4
2018/12/17 17:18:00;NPP-375;Brasil;GOIAS;PONTALINA;Cerrado;0;0;0;"-17,51778";"-49,32415";;3.6
2018/12/17 17:18:00;NPP-375;Brasil;GOIAS;TRINDADE;Cerrado;0;0;0;"-16,54686";"-49,61569";;7.7
2018/12/17 17:18:00;NPP-375;Brasil;GOIAS;LEOPOLDO DE BULHOES;Cerrado;0;0;0;"-16,57411";"-48,91158";;3
2018/12/17 17:18:00;NPP-375;Brasil;GOIAS;JATAI;Cerrado;0;0;0;"-17,69868";"-52,00404";;4.9
2018/12/17 17:18:00;NPP-375;Brasil;GOIAS;RIO VERDE;Cerrado;0;0;0;"-17,80304";"-51,44115";;19.2
2018/12/17 17:18:00;NPP-375;Brasil;GOIAS;RIO VERDE;Cerrado;0;0;0;"-17,92687";"-51,20763";;7.4
2018/12/17 17:18:00;NPP-375;Brasil;GOIAS;RIO VERDE;Cerrado;0;0;0;"-17,93076";"-51,2069";;7.4
2018/12/17 17:18:00;NPP-375;Brasil;GOIAS;BURITI ALEGRE;Cerrado;0;0;0;"-18,13541";"-49,07597";;6.7
2018/12/17 17:18:00;NPP-375;Brasil;GOIAS;BURITI ALEGRE;Cerrado;0;0;0;"-18,13873";"-49,07629";;4.8
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;MONTE ALEGRE DE MINAS;Cerrado;0;0;0;"-18,91102";"-48,6371";;5.8
2018/12/17 17:18:00;NPP-375;Brasil;MINAS GERAIS;PRATA;Cerrado;0;0;0;"-19,07921";"-48,90322";;5
